iter	Passed	Remaining
872	1339	194
873	1341	193
874	1342	191
875	1343	190
876	1345	188
877	1347	187
878	1348	185
879	1349	184
880	1351	182
881	1352	180
882	1353	179
883	1355	177
884	1356	176
885	1358	174
886	1359	173
887	1360	171
888	1362	170
889	1363	168
890	1364	166
891	1366	165
892	1367	163
893	1368	162
894	1370	160
895	1372	159
896	1374	157
897	1375	156
898	1377	154
899	1378	153
900	1379	151
901	1381	150
902	1382	148
903	1384	146
904	1385	145
905	1386	143
906	1388	142
907	1389	140
908	1390	139
909	1392	137
910	1393	136
911	1395	134
912	1396	133
913	1398	131
914	1399	129
915	1400	128
916	1402	126
917	1403	125
918	1405	123
919	1406	122
920	1407	120
921	1408	119
922	1410	117
923	1412	116
924	1413	114
925	1414	113
926	1416	111
927	1417	109
928	1418	108
929	1420	106
930	1421	105
931	1423	103
932	1424	102
933	1426	100
934	1429	99
935	1431	97
936	1434	96
937	1435	94
938	1437	93
939	1439	91
940	1440	90
941	1442	88
942	1443	87
943	1444	85
944	1446	84
945	1447	82
946	1449	81
947	1450	79
948	1451	78
949	1453	76
950	1454	74
951	1456	73
952	1457	71
953	1459	70
954	1460	68
955	1461	67
956	1463	65
957	1464	64
958	1466	62
959	1467	61
960	1469	59
961	1470	58
962	1471	56
963	1473	55
964	1475	53
965	1477	51
966	1478	50
967	1480	48
968	1481	47
969	1483	45
970	1485	44
971	1487	42
972	1488	41
973	1490	39
974	1491	38
975	1493	36
976	1495	35
977	1497	33
978	1498	32
979	1500	30
980	1501	29
981	1503	27
982	1505	26
983	1506	24
984	1508	22
985	1510	21
986	1511	19
987	1513	18
988	1514	16
989	1516	15
990	1518	13
991	1519	12
992	1521	10
993	1523	9
994	1525	7
995	1526	6
996	1528	4
997	1530	3
998	1532	1
999	1534	0
